destination,district,lat,lon,osm_type,display_name,licence
National Art Gallery,Colombo,6.9114097,79.861969,museum,"National Art Gallery, Ananda Coomaraswamy Mawatha, Town Hall, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, 00700, Sri Lanka","OpenStreetMap contributors, ODbL"
Kumana National Park,Ampara,6.6186785,81.6649958,national_park,"Kumana National Park, Ampara District, Eastern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Pallewela Waterfall,Badulla,6.8288186,81.0814816,waterfall,"Pallewela Ella, Uva - Karandagolla, Badulla District, Uva Province, 90108, Sri Lanka","OpenStreetMap contributors, ODbL"
Aradunu Falls,Badulla,6.9546584,81.1527847,waterfall,"Aradunu Falls, Pallegama, Badulla District, Uva Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Blackpool,Badulla,6.9287081,80.7890736,primary,"Blackpool-Ambewela Road, Katti Seeya, Meepilimana, Nuwara Eliya District, Central Province, 10000, Sri Lanka","OpenStreetMap contributors, ODbL"
Sri Maha Viharaya,Ratnapura,6.6734873,80.425183,place_of_worship,"Sri Jayasunandarama Moola Maha Viharaya, Angammana Road, Angammana, Batugedara, Ratnapura District, Sabaragamuwa Province, 70000, Sri Lanka","OpenStreetMap contributors, ODbL"
Old Dutch Market,Matara,5.9478601,80.5350881,archaeological_site,"Old Dutch Market, Anagarika Dharmapala Mawatha, Thotamuna, Weliweriya (SP), Matara, Matara District, Southern Province, 81000, Sri Lanka","OpenStreetMap contributors, ODbL"
Upper Rawana,Badulla,6.8372322,81.0520032,waterfall,"Upper Rawana, Badulla District, Uva Province, 90108, Sri Lanka","OpenStreetMap contributors, ODbL"
Thepulangoda Waterfall,Ratnapura,6.7283842,80.3938741,waterfall,"Thepulangoda Waterfall, Ellegedara, Ratnapura District, Sabaragamuwa Province, 70000, Sri Lanka","OpenStreetMap contributors, ODbL"
Prabhawa Mountain Day Viewpoint,Badulla,6.774327,80.9684626,viewpoint,"Prabhawa Mountain day View Point Haputale, Forest road, Haputale, Badulla District, Uva Province, 90160, Sri Lanka","OpenStreetMap contributors, ODbL"
Badulla Alugolla Samadhi Buddha,Badulla,7.0041474,81.048448,place_of_worship,"Badulla Alugolla Samadhi Buddha Statue, Badulla-Alugolla-Kandegedara Road, Katupelella, Alugolla, Badulla District, Uva Province, 90000, Sri Lanka","OpenStreetMap contributors, ODbL"
Abarana Ella,Hambantota,6.1875733,80.9702458,viewpoint,"Abarana Ella, Embilipitiya-Nonagama Road, Ganegoda, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Lighthouse - Hambantota,Hambantota,6.1820568,81.481378,lighthouse,"Great Basses Reef Lighthouse (Maha Ravana), Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Deduru oya dam,Kurunegala,7.7173014,80.2734944,dam,"Deduru Oya Dam, Kurunǣgala, North Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Pandiruppu,Ampara,7.4263926,81.8169319,hamlet,"Pandiruppu, Kalmunai, Ampara District, Eastern Province, 32314, Sri Lanka","OpenStreetMap contributors, ODbL"
Sembuwatta lake,Matale,7.4402341,80.7171018,lake,"Sembuwatta Lake, Kelebokka, Kandy District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Sri muththumari amman kovil,Matale,7.1974502,80.6701517,place_of_worship,"Sri Muththumari Amman Kovil, Deltota Road, Galaha, Kandy District, Central Province, 20420, Sri Lanka","OpenStreetMap contributors, ODbL"
Dambulla Cave Temple,Anuradhapura,7.8566286,80.6484958,place_of_worship,"Dambulla Cave Temple, Kandy-Jaffna Road, Kapuwaththa, Moragollewa, Matale District, Central Province, 21100, Sri Lanka","OpenStreetMap contributors, ODbL"
Glenloch Tea Factory,Kandy,7.0769624,80.6755987,works,"Glennloch Tea Factory, Nuwara Eliya Road, Glenloch Group, Kothmale, Nuwara Eliya District, Central Province, 20588, Sri Lanka","OpenStreetMap contributors, ODbL"
Gampaha Botanical Garden,Gampaha,7.0990332,79.9858291,garden,"Henarathgoda Botanical Garden, Gampaha Pahalagama, Gampaha, Gampaha District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Minneriya National Park,Anuradhapura,8.0161446,80.850139,national_park,"Minneriya National Park, Katukeliyawa, Polonnaruwa District, North Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Hummanaya Blow Hole,Matara,5.9776154,80.7387267,blowhole,"Hummanaya Blow Hole, Kudawella, Hambantota District, Southern Province, 81200, Sri Lanka","OpenStreetMap contributors, ODbL"
Ramboda Waterfall,Kandy,7.0545948,80.7013657,waterfall,"Ramboda Middle Falls, Ramboda, Nuwara Eliya District, Central Province, 20838, Sri Lanka","OpenStreetMap contributors, ODbL"
Rangala natural pool,Matale,7.3694319,80.7821916,attraction,"Rangala Natural Pool, Goomaraya Road, Kotaganga, Kandy District, Central Province, 20921, Sri Lanka","OpenStreetMap contributors, ODbL"
Hiriketiya Beach,Matara,5.9627833,80.707008,cafe,"Beach House, Hiriketiya, Dikwella, Matara District, Southern Province, 81200, Sri Lanka","OpenStreetMap contributors, ODbL"
Kaudulla National Park,Anuradhapura,8.1758109,80.9145547,nature_reserve,"Kaudulla National Park, Galoya, Polonnaruwa District, North Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Kelaniya Raja Maha Viharaya,Colombo,6.9515273,79.918674,religious,"Kelaniya Raja Maha Viharaya, Kelaniya, Gampaha District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Matara Bodhiya,Matara,6.0838522,80.6451431,place_of_worship,"Hakmana Bodhiya, Hakmana-Walasmulla Road, Hakmana, Matara District, Southern Province, 81300, Sri Lanka","OpenStreetMap contributors, ODbL"
Mount Lavinia Beach,Colombo,6.8362022,79.8649564,hotel,"Palm Beach Hotel, Hotel Road, Ratmalana North, Pallidora, Dehiwala, Colombo District, Western Province, 10370, Sri Lanka","OpenStreetMap contributors, ODbL"
Sri Lanka Planetarium,Colombo,6.900672,79.8628613,museum,"National Planetarium, Philip Gunawardena Mawatha (Reid Avenue), Independence Square, Town Hall, Cinnamon Gardens, Slave Island, Colombo, Colombo District, Western Province, 00700, Sri Lanka","OpenStreetMap contributors, ODbL"
